benchmark,relay,cap,obs,up,down
fixedrate,direct,670,7,11.593,395.796
fixedrate,direct,670,8,9.957,442.379
fixedrate,direct,670,9,11.138,401.396
fixedrate,direct,670,10,7.722,352.762
fixedrate,direct,670,11,5.994,275.641
fixedrate,direct,670,12,10.069,455.817
fixedrate,direct,670,13,11.238,434.915
fixedrate,direct,670,14,12.225,379.284
fixedrate,direct,670,15,9.4,335.499
fixedrate,direct,670,16,6.552,255.704
fixedrate,direct,670,17,8.784,386.658
fixedrate,direct,670,18,8.37,383.135
fixedrate,direct,670,19,11.06,375.621
fixedrate,direct,670,20,6.396,201.793
fixedrate,direct,680,1,3.409,108.276
fixedrate,direct,680,2,5.623,215.669
fixedrate,direct,680,3,8.614,344.16
fixedrate,direct,680,4,12.995,554.653
fixedrate,direct,680,5,13.168,352.762
fixedrate,direct,680,6,9.082,330.489
fixedrate,direct,680,7,12.858,589.006
fixedrate,direct,680,8,23.845,656.424
fixedrate,direct,680,9,15.576,719.15
fixedrate,direct,680,10,13.002,599.544
fixedrate,direct,680,11,13.348,404.238
fixedrate,direct,680,12,15.906,423.925
fixedrate,direct,680,13,12.87,591.974
fixedrate,direct,680,14,16.237,644.871
fixedrate,direct,680,15,11.966,518.847
fixedrate,direct,680,16,9.966,461.96
fixedrate,direct,680,17,15.048,694.926
fixedrate,direct,680,18,18.39,730.232
fixedrate,direct,680,19,19.418,569.264
fixedrate,direct,680,20,14.544,519.302
fixedrate,direct,690,1,4.273,132.63
fixedrate,direct,690,2,5.537,220.119
fixedrate,direct,690,3,7.854,347.01
fixedrate,direct,690,4,10.927,476.976
fixedrate,direct,690,5,9.834,442.088
fixedrate,direct,690,6,14.124,466.312
fixedrate,direct,690,7,12.856,477.502
fixedrate,direct,690,8,15.84,731.622
fixedrate,direct,690,9,15.906,734.29
fixedrate,direct,690,10,11.888,535.956
fixedrate,direct,690,11,11.198,474.954
fixedrate,direct,690,12,13.38,443.662
fixedrate,direct,690,13,13.748,602.976
fixedrate,direct,690,14,19.572,734.29
fixedrate,direct,690,15,13.992,646.478
fixedrate,direct,690,16,13.806,495.078
fixedrate,direct,690,17,15.77,593.45
fixedrate,direct,690,18,14.091,538.72
fixedrate,direct,690,19,17.722,734.204
fixedrate,direct,690,20,15.048,696.44
fixedrate,direct,700,1,5.083,155.44
fixedrate,direct,700,2,5.72,207.137
fixedrate,direct,700,3,10.03,343.772
fixedrate,direct,700,4,13.448,547.294
fixedrate,direct,700,5,17.824,727.57
fixedrate,direct,700,6,20.799,612.421
fixedrate,direct,700,7,14.666,611.731
fixedrate,direct,700,8,14.079,544.895
fixedrate,direct,700,9,15.51,683.423
fixedrate,direct,700,10,19.848,679.786
fixedrate,direct,700,11,14.586,670.702
fixedrate,direct,700,12,13.992,646.478
fixedrate,direct,700,13,17.127,579.197
fixedrate,direct,700,14,14.317,619.833
fixedrate,direct,700,15,19.584,625.282
fixedrate,direct,700,16,14.988,636.129
fixedrate,direct,700,17,13.739,600.656
fixedrate,direct,700,18,12.349,490.593
fixedrate,direct,700,19,15.787,614.057
fixedrate,direct,700,20,16.194,576.011
