benchmark,relay,cap,obs,up,down
fixedrate,direct,110,6,2.904,115.848
fixedrate,direct,110,7,2.904,114.675
fixedrate,direct,110,8,4.084,113.197
fixedrate,direct,110,9,3.036,121.288
fixedrate,direct,110,10,2.904,115.848
fixedrate,direct,110,11,2.904,116.189
fixedrate,direct,110,12,3.914,105.924
fixedrate,direct,110,13,3.102,125.998
fixedrate,direct,110,14,2.904,115.774
fixedrate,direct,110,15,2.904,115.848
fixedrate,direct,110,16,3.318,106.381
fixedrate,direct,110,17,4.61,125.903
fixedrate,direct,110,18,4.282,117.583
fixedrate,direct,110,19,2.904,116.152
fixedrate,direct,110,20,2.97,116.189
fixedrate,direct,120,1,2.731,88.872
fixedrate,direct,120,2,2.904,126.399
fixedrate,direct,120,3,3.828,126.333
fixedrate,direct,120,4,3.135,127.913
fixedrate,direct,120,5,2.904,125.301
fixedrate,direct,120,6,3.007,118.139
fixedrate,direct,120,7,4.376,136.758
fixedrate,direct,120,8,4.492,127.272
fixedrate,direct,120,9,2.904,128.148
fixedrate,direct,120,10,3.96,122.424
fixedrate,direct,120,11,3.102,130.459
fixedrate,direct,120,12,3.036,127.077
fixedrate,direct,120,13,2.904,127.054
fixedrate,direct,120,14,2.904,126.574
fixedrate,direct,120,15,2.97,126.333
fixedrate,direct,120,16,3.502,126.853
fixedrate,direct,120,17,2.904,126.634
fixedrate,direct,120,18,4.48,129.373
fixedrate,direct,120,19,2.904,125.849
fixedrate,direct,120,20,2.904,126.574
fixedrate,direct,130,1,3.14,97.673
fixedrate,direct,130,2,4.513,149.091
fixedrate,direct,130,3,4.765,148.287
fixedrate,direct,130,4,3.198,137.669
fixedrate,direct,130,5,5.499,197.186
fixedrate,direct,130,6,2.97,136.847
fixedrate,direct,130,7,5.82,197.289
fixedrate,direct,130,8,3.102,137.334
fixedrate,direct,130,9,3.036,137.358
fixedrate,direct,130,10,3.176,136.913
fixedrate,direct,130,11,5.403,168.163
fixedrate,direct,130,12,5.326,149.015
fixedrate,direct,130,13,4.764,179.596
fixedrate,direct,130,14,3.399,138.316
fixedrate,direct,130,15,3.572,138.22
fixedrate,direct,130,16,3.432,137.686
fixedrate,direct,130,17,3.3,135.927
fixedrate,direct,130,18,7.098,187.646
fixedrate,direct,130,19,3.498,137.441
fixedrate,direct,130,20,3.709,139.118
fixedrate,direct,140,1,3.223,106.712
fixedrate,direct,140,2,3.3,147.341
fixedrate,direct,140,3,3.366,146.483
fixedrate,direct,140,4,3.564,148.035
fixedrate,direct,140,5,7.266,208.251
fixedrate,direct,140,6,3.63,147.341
fixedrate,direct,140,7,3.564,147.828
fixedrate,direct,140,8,3.63,147.259
fixedrate,direct,140,9,3.63,147.3
fixedrate,direct,140,10,3.63,147.341
fixedrate,direct,140,11,3.865,147.444
fixedrate,direct,140,12,3.63,147.3
fixedrate,direct,140,13,3.848,147.716
fixedrate,direct,140,14,14.897,176.223
fixedrate,direct,140,15,3.564,147.341
fixedrate,direct,140,16,3.696,148.546
fixedrate,direct,140,17,3.63,147.36
fixedrate,direct,140,18,13.6,169.543
fixedrate,direct,140,19,5.881,139.175
fixedrate,direct,140,20,5.328,160.311
fixedrate,direct,150,1,3.355,114.305
fixedrate,direct,150,2,3.696,159.481
fixedrate,direct,150,3,3.63,157.967
fixedrate,direct,150,4,3.895,157.974
fixedrate,direct,150,5,3.696,157.908
fixedrate,direct,150,6,4.259,159.041
fixedrate,direct,150,7,3.828,157.704
fixedrate,direct,150,8,3.762,158.027
fixedrate,direct,150,9,3.696,157.908
fixedrate,direct,150,10,3.696,157.908
fixedrate,direct,150,11,3.762,160.019
fixedrate,direct,150,12,3.696,156.394
fixedrate,direct,150,13,3.696,159.54
fixedrate,direct,150,14,3.696,157.606
fixedrate,direct,150,15,3.762,155.116
fixedrate,direct,150,16,3.762,158.19
fixedrate,direct,150,17,5.454,156.381
fixedrate,direct,150,18,3.564,151.301
fixedrate,direct,150,19,3.894,164.54
fixedrate,direct,150,20,7.256,158.533
fixedrate,direct,160,1,3.989,82.295
fixedrate,direct,160,2,3.564,149.886
fixedrate,direct,160,3,5.016,220.867
fixedrate,direct,160,4,4.248,177.561
fixedrate,direct,160,5,3.931,160.972
fixedrate,direct,160,6,4.723,170.416
fixedrate,direct,160,7,3.894,167.385
fixedrate,direct,160,8,4.158,174.982
fixedrate,direct,160,9,4.092,168.594
fixedrate,direct,160,10,3.852,168.412
fixedrate,direct,160,11,3.894,169.31
fixedrate,direct,160,12,3.696,166.754
fixedrate,direct,160,13,3.63,168.317
fixedrate,direct,160,14,7.537,183.606
fixedrate,direct,160,15,3.828,169.101
fixedrate,direct,160,16,4.403,168.541
fixedrate,direct,160,17,3.696,168.317
fixedrate,direct,160,18,8.124,181.909
fixedrate,direct,160,19,23.896,195.415
fixedrate,direct,160,20,28.822,268.019
fixedrate,direct,170,1,22.878,155.858
fixedrate,direct,170,2,8.374,160.72
fixedrate,direct,170,3,5.61,233.244
fixedrate,direct,170,4,4.356,178.493
fixedrate,direct,170,5,3.96,165.538
fixedrate,direct,170,6,4.224,177.909
fixedrate,direct,170,7,4.62,193.002
fixedrate,direct,170,8,5.25,177.238
fixedrate,direct,170,9,4.158,179.254
fixedrate,direct,170,10,4.026,172.006
fixedrate,direct,170,11,4.092,182.039
fixedrate,direct,170,12,4.224,183.878
fixedrate,direct,170,13,4.29,178.752
fixedrate,direct,170,14,4.29,179.878
fixedrate,direct,170,15,4.356,178.493
fixedrate,direct,170,16,3.894,171.76
fixedrate,direct,170,17,5.25,185.254
fixedrate,direct,170,18,4.29,178.812
fixedrate,direct,170,19,4.356,178.797
fixedrate,direct,170,20,4.158,179.011
fixedrate,direct,180,1,3.475,118.458
fixedrate,direct,180,2,4.554,204.721
fixedrate,direct,180,3,4.602,189.041
fixedrate,direct,180,4,5.595,190.303
fixedrate,direct,180,5,5.297,186.837
fixedrate,direct,180,6,11.187,295.794
fixedrate,direct,180,7,4.26,159.03
fixedrate,direct,180,8,4.422,178.772
fixedrate,direct,180,9,4.05,136.26
fixedrate,direct,180,10,3.689,136.736
fixedrate,direct,180,11,4.092,186.222
fixedrate,direct,180,12,4.59,155.942
fixedrate,direct,180,13,4.43,180.166
fixedrate,direct,180,14,4.9,178.652
fixedrate,direct,180,15,4.587,186.882
fixedrate,direct,180,16,5.082,221.513
fixedrate,direct,180,17,5.478,252.958
fixedrate,direct,180,18,6.336,292.262
fixedrate,direct,180,19,6.788,238.08
fixedrate,direct,180,20,3.936,134.746
fixedrate,direct,190,1,3.439,115.612
fixedrate,direct,190,2,5.184,173.634
fixedrate,direct,190,3,4.158,186.222
fixedrate,direct,190,4,4.818,221.652
fixedrate,direct,190,5,5.346,247.087
fixedrate,direct,190,6,4.422,198.768
fixedrate,direct,190,7,4.422,199.08
fixedrate,direct,190,8,4.554,201.507
fixedrate,direct,190,9,4.422,199.072
fixedrate,direct,190,10,4.29,191.51
fixedrate,direct,190,11,5.409,212.899
fixedrate,direct,190,12,4.356,199.293
fixedrate,direct,190,13,4.554,202.108
fixedrate,direct,190,14,4.541,197.632
fixedrate,direct,190,15,5.336,196.471
fixedrate,direct,190,16,5.016,203.026
fixedrate,direct,190,17,4.158,183.093
fixedrate,direct,190,18,9.509,205.969
fixedrate,direct,190,19,23.797,487.173
fixedrate,direct,190,20,17.625,238.622
fixedrate,direct,200,1,18.332,182.645
fixedrate,direct,200,2,17.639,245.077
fixedrate,direct,200,3,9.881,285.346
fixedrate,direct,200,4,5.016,210.763
fixedrate,direct,200,5,4.95,210.239
fixedrate,direct,200,6,6.0,203.201
fixedrate,direct,200,7,4.818,215.134
fixedrate,direct,200,8,4.686,208.919
fixedrate,direct,200,9,4.158,184.839
fixedrate,direct,200,10,4.95,222.786
fixedrate,direct,200,11,4.818,206.997
fixedrate,direct,200,12,4.95,216.621
fixedrate,direct,200,13,5.214,222.242
fixedrate,direct,200,14,4.584,119.123
fixedrate,direct,200,15,2.97,128.69
fixedrate,direct,200,16,3.432,154.548
fixedrate,direct,200,17,4.752,210.506
fixedrate,direct,200,18,4.422,195.306
fixedrate,direct,200,19,9.426,308.856
fixedrate,direct,200,20,7.722,350.813
fixedrate,direct,210,1,3.151,101.01
fixedrate,direct,210,2,5.082,214.988
fixedrate,direct,210,3,6.336,275.547
fixedrate,direct,210,4,5.053,214.808
fixedrate,direct,210,5,5.016,215.723
fixedrate,direct,210,6,5.28,229.42
fixedrate,direct,210,7,5.148,223.754
fixedrate,direct,210,8,5.082,220.201
fixedrate,direct,210,9,5.148,221.785
fixedrate,direct,210,10,5.214,220.16
fixedrate,direct,210,11,5.016,211.221
fixedrate,direct,210,12,5.28,231.498
fixedrate,direct,210,13,4.95,211.938
fixedrate,direct,210,14,4.95,218.434
fixedrate,direct,210,15,5.148,222.374
fixedrate,direct,210,16,5.016,219.809
fixedrate,direct,210,17,6.894,208.201
fixedrate,direct,210,18,5.742,240.841
fixedrate,direct,210,19,5.148,223.555
fixedrate,direct,210,20,5.28,223.633
fixedrate,direct,220,1,3.031,95.303
fixedrate,direct,220,2,4.092,175.624
fixedrate,direct,220,3,7.194,316.426
fixedrate,direct,220,4,6.138,273.602
fixedrate,direct,220,5,5.148,231.685
fixedrate,direct,220,6,4.686,206.426
fixedrate,direct,220,7,7.962,241.064
fixedrate,direct,220,8,5.412,245.455
fixedrate,direct,220,9,5.148,231.685
fixedrate,direct,220,10,5.148,230.475
fixedrate,direct,220,11,4.818,217.094
fixedrate,direct,220,12,7.014,211.894
